2021-03-11 11:17:55,125 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 11:17:55,134 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 11:17:55,135 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 11:17:59,817 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'AmountMet' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:17:59,819 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:17:59,821 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:17:59,823 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:17:59,825 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalPrice' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:17:59,826 [10] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalAmount' on entity type 'Transation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 11:18:00,101 [10] WARN  Microsoft.EntityFrameworkCore.Query - The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
2021-03-11 14:07:12,366 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:07:12,372 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:07:12,373 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:07:22,356 [9] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'AmountMet' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:07:22,357 [9] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:07:22,357 [9] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:07:22,357 [9] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
